Rank,Name,Team,정렬▼,WAR▼,WAA (야수),WAA (야수),WAA (야수),WAA (야수),Rep. Wins,Pos. Wins,WAA (투수),WAA (투수),Rep. Win (투수),Rep. Win (투수),WAR (투수),WAR (투수),탭,하위 탭,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,rRA,TBF,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,정렬▼,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
Rank,Name,Team,WAR,WAR▼,BT,SB,BR,Def,Rep. Wins,Pos. Wins,GS,GR,GS,GR,GS,GR,,,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,rRA,TBF,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
27,홍성흔,99두C,53.53,53.53,18.73,0.25,-0.24,-1.19,3.25,9.34,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,이강철,89해P,53.03,53.03,0.0,0.0,0.0,0.0,0.0,0.0,15.53,7.38,25.66,4.37,41.36,11.67,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,박용택,02LLF,52.8,52.8,23.6,2.13,0.09,-2.05,3.9,-12.12,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,심정수,94ORF,52.28,52.28,34.28,1.17,0.0,-0.64,2.6,-5.91,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,정근우,05S2B,51.81,51.81,13.81,0.1,0.05,1.49,3.03,5.22,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,정민철,92빙P,51.72,51.72,-0.03,0.0,0.0,0.0,0.0,0.0,17.54,0.98,32.32,0.1,50.67,1.08,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,이대호,01롯1B,50.83,50.83,35.86,0.86,-0.67,-2.2,3.52,-12.9,0.0,0.01,0.0,0.0,0.0,0.01,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,홍현우,90해2B,50.57,50.57,22.24,0.86,0.0,0.58,2.63,0.75,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,이범호,00한2B,50.08,50.08,21.15,0.53,-0.29,-0.88,3.18,-4.04,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,박병호,05L1B,49.92,49.92,31.32,0.19,-0.15,4.78,2.78,-7.97,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,박석민,04삼3B,49.22,49.22,28.74,0.34,-0.66,-1.08,2.74,-4.85,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,나성범,13NRF,49.14,49.14,26.76,0.52,0.38,3.19,2.49,0.32,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,이용규,04LLF,48.29,48.29,10.14,0.22,0.33,2.72,3.6,-2.82,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,이병규,97LCF,47.78,47.78,21.28,0.45,0.03,-2.11,3.12,-3.57,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,박진만,96현SS,47.52,47.52,0.27,-1.03,-0.2,4.0,3.08,12.94,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,이진영,99쌍RF,46.95,46.95,20.85,-0.81,-0.27,0.65,3.34,-8.68,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,송지만,96한LF,46.24,46.24,22.23,-1.31,-0.01,0.06,3.31,-7.32,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,임창용,95해P,45.76,45.76,-0.09,0.0,0.0,0.0,0.0,0.0,1.55,20.14,11.41,8.99,14.51,31.29,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,류지현,94LSS,45.62,45.62,11.35,1.89,0.0,-1.6,2.14,8.62,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,윤성환,04삼P,45.32,45.32,0.0,0.0,0.0,0.0,0.0,0.0,13.64,0.61,11.61,1.56,43.11,2.21,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,조계현,91해P,44.64,44.64,0.0,0.0,0.0,0.0,0.0,0.0,18.28,1.49,24.34,0.33,42.81,1.83,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,류현진,06한P,44.25,44.25,0.0,0.0,0.0,0.0,0.0,0.0,23.14,0.36,18.62,0.04,43.85,0.4,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,한용덕,88빙P,44.03,44.03,-0.01,0.0,0.0,0.0,0.0,0.0,9.78,5.94,25.71,1.88,36.13,7.89,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,장효조,83삼LF,43.92,43.92,28.54,0.63,0.0,-1.85,1.73,-3.74,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,양준혁,10삼1B,91.06,91.06,,,,,,,,,,,,,타격,default,107.63,-16.58,2135.0,8807.0,8635.0,7332.0,1299.0,2318.0,458.0,25.0,351.0,3879.0,1389.0,193.0,119.0,1278.0,102.0,150.0,910.0,166.0,14.0,73.0,0.316,0.421,0.529,0.95,0.15,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,최정,24+S3B,85.56,85.56,,,,,,,,,,,,,타격,default,83.22,2.34,2293.0,9438.0,9335.0,7892.0,1461.0,2269.0,421.0,11.0,495.0,4197.0,1561.0,178.0,75.0,1037.0,348.0,57.0,1772.0,145.0,65.0,96.0,0.288,0.39,0.532,0.922,0.157,139.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,최형우,24+삼C,71.88,71.88,,,,,,,,,,,,,타격,default,77.67,-5.79,2181.0,9222.0,9145.0,7877.0,1291.0,2442.0,513.0,19.0,395.0,4178.0,1651.0,29.0,19.0,1130.0,113.0,92.0,1404.0,185.0,4.0,98.0,0.31,0.4,0.53,0.93,0.141,145.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,이승엽,17삼1B,70.74,70.74,,,,,,,,,,,,,타격,default,81.55,-10.81,1906.0,8270.0,8192.0,7132.0,1355.0,2156.0,464.0,28.0,467.0,4077.0,1498.0,57.0,25.0,953.0,102.0,75.0,1344.0,120.0,7.0,76.0,0.302,0.389,0.572,0.961,0.165,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
