FA년도,구단명,선수명,세부 포지션,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2
2011,KIA,윤석민,SP,9,신규,A,2010,24,23,13,10,6,3,3,,0,,101,43,95,,,5,36,3,94,3,3.83,,,1.95,0.05,2,22000,고졸,
2012,KIA,윤석민,SP,9,신규,A,2011,25,27,25,2,17,5,1,,0,,172.1,47,137,,,10,44,6,178,2,2.45,,,5.72,0.22,5.94,19000,고졸,
2013,KIA,윤석민,SP,9,신규,A,2012,26,28,24,4,9,8,0,0,0,0,153,53,120,,,9,33,8,137,4,3.12,,,2.99,0.26,3.25,38000,고졸,
2014,KIA,윤석민,CP,9,신규,A,2013,27,30,11,19,3,6,7,1,2,1,87.2,39,91,18,3,9,28,1,76,0,4,62.2,25,1.72,0.82,2.54,38000,고졸,
2015,미국,윤석민,,,FA 1년차,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,미국,
2012,삼성,윤성환,SP,8,신규,A,2011,30,24,23,1,14,5,0,,0,,137.1,54,151,,,8,30,3,83,4,3.54,,,2.71,0.05,2.77,15000,대졸,
2013,삼성,윤성환,SP,8,신규,A,2012,31,19,19,0,9,6,0,,0,,114,36,112,,,6,26,4,81,5,2.84,,,3.58,,3.58,25000,대졸,
2014,삼성,윤성환,SP,8,신규,A,2013,32,27,27,0,13,8,0,0,0,0,170.2,62,167,40,2,16,37,4,122,4,3.27,170.2,0,5.24,,5.24,30000,대졸,
2015,삼성,윤성환,SP,8,신규,A,2014,33,28,28,0,12,7,0,0,0,0,170.1,83,196,30,4,18,37,8,133,4,4.39,170.1,0,4.75,,4.75,45000,대졸,
2016,삼성,윤성환,SP,4,FA 1년차,A,2015,34,30,30,0,17,8,0,0,0,0,194,81,199,34,4,27,30,10,164,1,3.76,194,0,6.34,,6.34,80000,고졸,
2017,삼성,윤성환,SP,4,재자격,A,2016,35,28,28,0,11,10,0,0,0,0,180,87,202,35,3,25,41,13,85,6,4.35,180,0,5.12,,5.12,80000,고졸,
2018,삼성,윤성환,SP,4,재자격,A,2017,36,28,28,0,12,9,0,0,0,0,174.1,83,181,39,4,22,37,15,130,3,4.28,174.1,0,5.45,,5.45,80000,고졸,
2019,삼성,윤성환,SP,4,재자격,A,2018,37,24,24,0,5,9,0,0,0,0,117.1,91,164,30,0,28,32,9,89,2,6.98,117.1,0,0.8,,0.8,80000,고졸,
2020,삼성,윤성환,SP,,FA 1년차,,2019,38,27,27,0,8,13,0,0,0,0,145.1,77,168,34,3,14,50,7,65,3,4.77,145.1,0,2.09,,2.09,40000,,
2013,LG,이동현,RP,9,신규,A,2012,29,52,0,52,2,2,0,,6,,56.2,19,43,,,1,18,0,56,0,3.02,,,,1.37,1.37,5000,고졸,
2014,LG,이동현,RP,9,신규,A,2013,30,64,0,64,6,3,1,3,25,2,72,24,70,8,2,4,25,3,53,1,3,0,72,,1.69,1.69,8500,고졸,
2015,LG,이동현,RP,9,신규,A,2014,31,61,0,61,5,1,2,4,23,0,59.1,18,54,10,1,2,21,8,38,3,2.73,0,59.1,,1.86,1.86,17000,고졸,
