FA년도,구단명,선수명,세부 포지션,투,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM GS,TEAM GR,TEAM W,TEAM L,TEAM S,TEAM BLSV,TEAM HD,TEAM BLHD,TEAM IP,TEAM ER,TEAM H,TEAM 2B,TEAM 3B,TEAM HR,TEAM BB,TEAM HP,TEAM SO,TEAM WP,TEAM ERA,TEAM FIP,TEAM 선발 이닝,TEAM 구원 이닝,TEAM 선발 WAR,TEAM 구원 WAR,TEAM 종합 WAR,TEAM 연봉,
2017,KIA,고효준,RP,좌투,9,신규,A,2016,33,24,6,18,0,2,0,0,2,0,,31,54,12,1,6,29,2,52,3,6.07,,26.1,19.2,-0.39,-0.17,-0.56,8000,고졸,,,,,5,144,144,491,70,73,38,21,74,6,1276,705,1456,230,23,131,561,59,965,69,4.97,4.97,769,507,17.29,5.06,22.34,597100,
2018,KIA,고효준,RP,좌투,9,신규,A,2017,34,40,1,39,3,1,0,0,4,1,40,19,44,7,1,1,22,5,35,2,4.27,4.41,4.2,35.1,0.08,1,1.08,8000,고졸,,,,,1,144,144,438,87,56,33,18,46,7,1290,687,1518,255,21,137,434,77,985,69,4.79,4.71,818.1,471.2,22.39,2.99,25.39,581400,
2019,롯데,고효준,RP,좌투,9,신규,A,2018,35,43,0,43,2,3,0,0,7,0,32.1,25,33,8,1,3,23,0,39,5,6.96,4.64,0,32.1,,0.05,0.05,10000,고졸,,,,,7,144,144,542,68,74,29,22,64,9,1283.2,766,1410,295,26,166,548,73,1164,65,5.37,5.03,740.1,543.1,13.75,8.35,22.1,512300,
2020,롯데,고효준,RP,좌투,9,신규,A,2019,36,75,0,75,2,7,0,4,15,0,62.1,33,58,13,1,6,36,3,72,11,4.76,3.81,0,62.1,,0.44,0.44,9000,고졸,,잔류,1,1.2,10,144,144,520,48,93,16,17,47,4,1271,682,1407,242,20,120,546,71,1033,103,4.83,4.28,713.2,557.1,9.49,2.68,12.17,552500,
2021,롯데,고효준,RP,좌투,,FA 1년차,,2020,37,24,0,24,1,0,0,0,0,0,15.2,10,14,3,0,3,11,3,11,1,5.74,7.29,0,15.2,,0.01,0.01,10000,,,,,,7,144,144,545,71,72,25,18,59,7,1277.1,659,1351,241,17,143,447,58,1002,62,4.64,4.48,763.2,513.2,19.08,7.05,26.13,246600,
2015,삼성,권오준,RP,우사,9,신규,A,2014,34,1,0,1,0,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,18,4.25,0,1,,-0.12,-0.12,12000,고졸,,,,,1,128,128,415,78,47,35,18,65,2,1144,575,1217,257,24,120,395,61,996,51,4.52,4.48,737.1,406.2,21.11,5.64,26.76,430500,
2016,삼성,권오준,RP,우사,9,신규,A,2015,35,30,0,30,0,0,0,0,0,1,28,25,33,9,0,5,9,5,24,2,8.04,5.51,0,28,,-0.28,-0.28,7000,고졸,,,,,2,144,144,433,88,56,34,10,60,4,1275.1,665,1323,270,17,182,423,64,1194,44,4.69,4.54,850,425.1,18.76,8.1,26.86,490700,
2017,삼성,권오준,RP,우사,9,신규,A,2016,36,41,0,41,1,3,0,1,7,0,46.1,20,48,5,2,9,11,3,35,1,3.88,5.6,0,46.1,,1.26,1.26,7000,고졸,20,,,,9,144,144,503,65,78,34,18,60,4,1282.1,804,1507,251,20,193,518,87,935,52,5.64,5.6,763.2,518.2,10.97,8.58,19.55,553600,
2018,삼성,권오준,RP,우사,9,신규,A,2017,37,45,0,45,1,2,0,1,1,2,56,32,57,12,0,11,14,4,55,2,5.14,5.09,0,56,,0.66,0.66,10500,고졸,,잔류,2,6,9,144,144,469,55,84,27,12,34,10,1281.1,837,1541,281,28,187,548,118,1063,74,5.88,5.39,718,563.1,8.48,5.34,13.82,504100,
2019,삼성,권오준,RP,우사,,FA 1년차,,2018,38,47,0,47,3,1,1,0,2,2,43.1,19,43,7,0,7,12,3,52,2,3.95,4.34,0,43.1,,0.81,0.81,15000,,,,,,6,144,144,473,68,72,33,17,56,8,1285.1,741,1477,291,18,185,441,107,1114,45,5.19,5.16,750.2,534.2,14.24,12.44,26.68,482300,
2012,삼성,권혁,RP,좌투,9,신규,A,2011,28,58,0,58,1,3,0,,19,,48.1,15,38,,,2,22,2,27,2,2.79,4.2,,,,1.27,1.27,19000,고졸,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,삼성,권혁,RP,좌투,9,신규,A,2012,29,64,0,64,2,3,1,0,18,0,49.1,17,48,,,2,20,1,38,2,3.1,3.24,,,,1.2,1.2,22000,고졸,,,,,1,133,133,389,80,51,39,,71,,1187.2,448,1085,,,65,384,37,885,46,3.39,3.31,,,14.32,12.54,26.86,269000,
2014,삼성,권혁,RP,좌투,9,신규,A,2013,30,52,0,52,0,1,0,0,3,0,36.1,16,35,5,1,5,16,1,41,1,3.96,4.07,0,36.1,,0.43,0.43,26000,고졸,,,,,1,128,128,380,75,51,31,7,49,5,1146.2,507,1119,194,21,98,411,60,955,44,3.98,3.98,750,396.2,15.08,6.1,21.18,300800,
2015,삼성,권혁,RP,좌투,9,신규,A,2014,31,38,0,38,3,2,0,1,1,0,34.2,11,27,7,0,4,11,0,38,1,2.86,3.87,0,34.2,,1.01,1.01,26000,고졸,,이적,4,32,1,128,128,415,78,47,35,18,65,2,1144,575,1217,257,24,120,395,61,996,51,4.52,4.48,737.1,406.2,21.11,5.64,26.76,430500,
2016,한화,권혁,CP,좌투,,FA 1년차,,2015,32,78,0,78,9,13,17,8,6,0,112,62,124,21,1,15,53,5,88,5,4.98,5.19,0,112,,1.15,1.15,45000,,,,,,6,144,144,528,68,76,32,14,44,7,1279.2,727,1349,232,12,157,648,96,920,85,5.11,5.44,667,612.2,12.4,6.54,18.94,441500,
2016,넥센,금민철,SP,좌투,9,신규,A,2015,29,7,5,2,1,1,0,0,0,0,22,11,25,4,0,2,14,2,11,0,4.5,6.18,19.1,2.2,0.69,0.08,0.76,8800,고졸,,,,,4,144,144,443,78,65,29,11,44,14,1286,701,1404,236,28,146,518,81,1066,85,4.91,4.76,724.1,561.2,16.69,7.25,23.95,300300,
2017,넥센,금민철,RP,좌투,9,신규,A,2016,30,14,2,12,1,1,0,0,0,0,26.1,15,36,4,1,2,9,1,16,2,5.13,4.8,5.1,21,-0.23,0.36,0.13,7900,고졸,,,,,3,144,144,464,77,66,38,17,74,9,1280.1,705,1487,249,27,152,435,68,895,50,4.96,5.05,741,539.1,16.83,10.51,27.34,332300,
2018,넥센,금민철,RP,좌투,9,신규,A,2017,31,36,7,29,4,4,0,0,3,0,54,38,81,14,1,3,33,3,42,2,6.33,4.99,24,30,0.1,0.34,0.44,7300,고졸,,,,,7,144,144,410,69,73,40,18,66,6,1271,710,1488,280,21,149,388,97,1005,56,5.03,4.7,776,495,18.06,4.27,22.33,427000,
2019,KT,금민철,SP,좌투,9,신규,A,2018,32,29,29,0,8,12,0,0,0,0,156.1,94,212,30,1,19,68,7,79,10,5.41,6,156.1,0,2.5,,2.5,8000,고졸,,잔류,2,7,9,144,144,487,59,82,24,18,45,9,1274.1,756,1580,272,23,194,409,84,1025,63,5.34,5.21,782.1,492,12.98,4.97,17.95,269700,
2020,KT,금민철,SP,좌투,,FA 1년차,,2019,33,14,14,0,1,4,0,0,0,0,57,32,66,7,1,5,25,7,26,4,5.05,5.45,57,0,0.4,,0.4,15000,,,,,,6,144,144,424,71,71,37,9,59,9,1277,608,1303,225,25,118,481,61,848,50,4.29,4.47,795.1,481.2,14.99,7.21,22.2,200800,
2014,SK,김광현,SP,좌투,9,신규,A,2013,25,25,22,3,10,9,0,1,0,0,133,66,128,31,3,12,68,4,102,9,4.47,4.63,127.2,5.1,1.76,0.03,1.79,24000,고졸,,,,,6,128,128,394,62,63,31,17,38,5,1139,527,1091,217,12,101,505,70,878,66,4.16,4.43,750,389,15.86,3.14,19,208900,
2015,SK,김광현,SP,좌투,9,신규,A,2014,26,28,28,0,13,9,0,0,0,0,173.2,66,178,36,4,10,81,3,145,9,3.42,4.35,173.2,0,6.55,,6.55,27000,고졸,,,,,5,128,128,427,61,65,26,15,44,7,1129.1,692,1271,239,21,153,522,68,837,67,5.51,5.49,673.1,456,13.55,3.71,17.26,270300,
2016,SK,김광현,SP,좌투,9,신규,A,2015,27,30,29,1,14,6,0,0,1,0,176.2,73,173,33,0,19,66,3,160,10,3.72,4.32,176.1,0.1,5.14,0.03,5.18,60000,고졸,,,,,5,144,144,477,69,73,31,11,60,3,1280.2,670,1358,270,11,153,517,70,1149,71,4.71,4.6,740.2,540,15.11,8.4,23.52,354500,
2017,SK,김광현,SP,좌투,9,신규,A,2016,28,27,21,6,11,8,0,0,1,1,137,59,139,21,2,17,41,6,116,3,3.88,4.64,126.2,10.1,3.9,0.22,4.12,85000,고졸,,미국,4,85,6,144,144,456,69,75,31,12,43,6,1274,689,1386,232,22,151,527,76,945,65,4.87,5.15,756,518,16.73,7.34,24.07,393600,
2018,부상 시즌 아웃,김광현,,좌투,,FA 1년차,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,부상 시즌 아웃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,삼성,김대우,RP,우언,8,자격유지,C,2020,32,28,9,19,3,7,0,0,1,1,77.2,44,95,17,1,9,26,6,37,1,5.1,5.46,41,36.2,0.71,0.55,1.26,11500,신규 35세 23년 C등급,,,,,8,144,144,554,64,75,25,19,80,4,1272.1,676,1330,222,16,151,542,67,931,55,4.78,4.95,770.2,501.2,20.59,5.38,25.97,522000,
2022,삼성,김대우,RP,우언,8,자격유지,C,2021,33,31,4,27,0,2,0,0,1,0,51,36,68,18,0,7,15,2,27,1,6.35,5.05,15,36,-0.23,0.36,0.13,15500,신규 35세 23년 C등급,,,,,3,144,143,532,76,59,46,13,80,4,1259,601,1297,230,24,131,530,51,1038,58,4.3,4.22,769.2,489.1,21.25,5.69,26.94,521500,
2023,삼성,김대우,RP,우언,8,자격유지,C,2022,34,4,0,4,1,0,0,0,0,1,4.1,1,4,0,0,0,0,0,5,0,2.08,0.9,0,4.1,,0.16,0.16,12000,신규 35세 23년 C등급,,,,,7,144,144,542,66,76,34,21,71,5,1287,613,1370,251,15,129,478,66,971,47,4.29,4.33,791,496,17.69,3.56,21.26,590300,
2024,삼성,김대우,RP,우언,8,자격유지,C,2023,35,44,5,39,0,2,0,0,4,3,64,32,66,9,1,7,22,3,49,1,4.5,4.4,21,43,0.2,0.2,0.39,7000,신규 35세 23년 C등급,,잔류,2,4,8,144,144,547,61,82,38,21,69,5,1278.1,654,1414,238,22,120,464,52,899,51,4.6,4.37,765.1,513,16.05,0.73,16.77,659100,
2025,삼성,김대우,RP,우언,,FA 1년차,,2024,36,32,1,31,0,0,0,0,5,0,34.1,21,42,9,0,4,9,3,23,1,5.5,4.81,2.1,32,-0.03,0.34,0.31,10000,,,,,,2,144,144,558,78,64,41,25,116,10,1282.2,667,1384,225,23,164,477,81,980,58,4.68,5.08,735.2,547,21.01,8.75,29.76,476500,
2012,롯데,김사율,CP,우투,9,신규,A,2011,31,61,0,61,5,3,20,0,2,0,66.1,24,60,,,4,22,2,54,7,3.26,3.29,,,,1.92,1.92,6000,고졸,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,롯데,김사율,CP,우투,9,신규,A,2012,32,50,0,50,2,3,34,0,1,0,45.1,15,45,,,4,11,2,43,6,2.98,3.05,,,,1.22,1.22,13000,고졸,,,,,4,133,133,465,65,62,39,,63,,1190.1,461,1145,,,74,469,53,825,65,3.49,3.78,,,13.79,10.25,24.04,260700,
2014,롯데,김사율,CP,우투,9,신규,A,2013,33,35,8,27,3,7,1,3,3,0,74.1,33,74,13,1,11,34,2,47,6,4,5.44,38.2,35.2,0.76,0.71,1.47,19000,고졸,,,,,5,128,128,409,66,58,38,21,64,2,1149.1,503,1148,180,13,84,489,62,820,45,3.94,4.33,707,442.1,17.78,5.67,23.45,207800,
2015,롯데,김사율,RP,우투,9,신규,A,2014,34,33,7,26,2,5,0,0,2,1,79.1,51,95,17,2,13,30,3,71,8,5.79,5.22,35,44.1,0.51,0.35,0.86,15000,고졸,,이적,4,14.5,7,128,128,425,58,69,28,14,64,2,1133.1,655,1310,250,26,127,470,53,781,54,5.2,5.19,689.1,444,16.19,6.83,23.03,316600,
2016,KT,김사율,RP,우투,,FA 1년차,,2015,35,21,0,21,0,0,0,0,0,0,25.2,23,40,13,2,4,11,2,24,3,8.06,5.06,0,25.2,,-0.63,-0.63,20000,,,,,,10,144,144,508,52,91,16,10,31,12,1266.2,782,1518,273,25,154,577,87,1046,86,5.56,4.96,660,606.2,8.68,6.4,15.08,219000,
2018,넥센,김상수,CP,우투,9,신규,A,2017,29,60,0,60,0,7,15,6,9,3,61.1,26,59,9,0,8,22,3,62,5,3.82,4.39,0,61.1,,1.6,1.6,12000,고졸,,,,,7,144,144,410,69,73,40,18,66,6,1271,710,1488,280,21,149,388,97,1005,56,5.03,4.7,776,495,18.06,4.27,22.33,427000,
2019,넥센,김상수,CP,우투,9,신규,A,2018,30,58,0,58,2,3,18,7,14,0,55.2,32,53,10,0,9,23,1,68,6,5.17,4.55,0,55.2,,0.58,0.58,16500,고졸,,,,,4,144,144,447,75,69,32,23,72,0,1282,723,1442,252,18,178,416,98,1021,59,5.08,5.17,815.2,466.1,21.01,2.89,23.9,378200,
2020,키움,김상수,RP,우투,9,신규,A,2019,31,67,0,67,3,5,0,1,40,0,56.2,19,50,6,0,3,28,2,60,0,3.02,3.38,0,56.2,,1.69,1.69,20000,고졸,,,,,2,144,144,467,86,57,39,11,91,7,1279,513,1293,244,24,61,371,58,984,45,3.61,3.44,790.1,488.2,18.66,10.98,29.63,328000,
2021,키움,김상수,RP,우투,9,신규,A,2020,32,60,0,60,3,3,5,3,11,0,51.1,27,52,12,0,3,21,3,48,1,4.73,3.74,0,51.1,,0.48,0.48,30000,고졸,,이적,3,15.5,5,144,144,586,80,63,42,18,81,8,1280.1,624,1336,208,15,126,446,73,950,51,4.39,4.49,706.1,574,15.99,9.1,25.09,380300,
2022,SSG,김상수,CP,우투,,FA 1년차,,2021,33,50,0,50,4,3,6,3,5,0,58.1,33,71,8,0,10,30,1,44,2,5.09,5.46,0,58.1,,0.83,0.83,30000,,,,,,6,144,143,516,66,64,25,24,56,5,1276.2,684,1296,214,14,149,629,78,1012,41,4.82,4.78,674.1,602.1,9.39,9.86,19.25,415600,
2015,롯데,김승회,CP,우투,-1,자격유지,A,2014,33,54,0,54,1,2,20,3,4,0,56,19,47,12,2,4,18,3,40,1,3.05,4.48,0,56,,2.35,2.35,12000,고졸,,,,,7,128,128,425,58,69,28,14,64,2,1133.1,655,1310,250,26,127,470,53,781,54,5.2,5.19,689.1,444,16.19,6.83,23.03,316600,
2016,롯데,김승회,RP,우투,-1,자격유지,A,2015,34,39,7,32,7,3,2,1,2,1,75,52,96,17,1,13,28,4,50,2,6.24,5.73,33.2,41.1,0.81,-0.04,0.77,19000,고졸,,,,,8,144,144,474,66,77,19,18,47,9,1281.1,721,1461,253,13,164,489,87,1015,89,5.06,4.93,762.2,518.2,18.75,3.59,22.34,404700,
2017,SK,김승회,RP,우투,-1,자격유지,A,2016,35,23,0,23,1,1,0,1,4,0,24.1,16,29,4,1,4,9,0,19,2,5.92,5.26,0,24.1,,-0.04,-0.04,22000,고졸,,,,,6,144,144,456,69,75,31,12,43,6,1274,689,1386,232,22,151,527,76,945,65,4.87,5.15,756,518,16.73,7.34,24.07,393600,
2018,두산,김승회,RP,우투,-1,자격유지,A,2017,36,69,0,69,7,4,0,0,11,2,69,38,86,17,3,6,17,6,41,3,4.96,4.7,0,69,,0.9,0.9,10000,고졸,,잔류,2,3,2,144,144,446,84,57,35,13,46,3,1288,627,1405,234,31,125,464,87,956,54,4.38,4.78,801,487,18.47,8.08,26.55,625200,
2019,두산,김승회,RP,우투,,FA 1년차,,2018,37,55,0,55,3,4,3,2,11,0,54.2,21,54,11,0,6,23,5,34,3,3.46,5.69,0,54.2,,1.17,1.17,10000,,,,,,2,144,144,471,93,51,41,17,56,6,1288.2,713,1401,266,16,154,476,109,1025,72,4.98,5.13,765.2,523,18.95,7.48,26.43,535100,
2021,KT,김재윤,CP,우투,8,신규,B,2020,30,56,0,56,5,3,21,7,1,0,60.2,22,62,4,2,7,15,0,58,0,3.26,3.64,0,60.2,,2.11,2.11,12000,고졸,,,,,3,144,144,521,81,62,33,23,71,7,1290.1,651,1357,227,9,118,523,59,848,75,4.54,4.78,780,510.1,19.41,9.3,28.71,265700,
2022,KT,김재윤,CP,우투,8,신규,B,2021,31,65,0,65,4,3,32,5,0,0,67,18,57,8,0,5,24,0,64,2,2.42,3.24,0,67,,2.69,2.69,17000,고졸,,,,,1,144,144,470,76,59,33,16,74,5,1264,515,1176,184,13,86,489,42,1062,56,3.67,3.66,812,452,23.06,10.43,33.49,294300,
2023,KT,김재윤,CP,우투,8,신규,B,2022,32,61,0,61,9,7,33,6,0,0,66.1,24,46,6,0,5,21,0,78,2,3.26,2.54,0,66.1,,2.26,2.26,28000,고졸,,,,,4,144,144,444,80,62,37,13,65,2,1287.1,502,1243,188,19,92,364,63,1074,43,3.51,3.52,844,443.1,24.19,10.06,34.25,412900,
2024,KT,김재윤,CP,우투,8,신규,B,2023,33,59,0,59,5,5,32,4,0,0,65.2,19,54,5,2,2,13,1,60,3,2.6,2.4,0,65.2,,2.8,2.8,36000,고졸,,이적,4,58,2,144,144,450,79,62,39,13,61,2,1287,564,1326,213,22,83,413,50,968,63,3.94,3.79,793.1,493.2,21.51,9.53,31.04,490500,
2025,삼성,김재윤,RP,우투,,FA 1년차,,2024,34,65,0,65,4,8,11,5,25,0,66,30,58,9,1,13,25,1,51,2,4.09,5.69,0,66,,1.42,1.42,40000,,,,,,2,144,144,558,78,64,41,25,116,10,1282.2,667,1384,225,23,164,477,81,980,58,4.68,5.08,735.2,547,21.01,8.75,29.76,476500,
2020,NC,김진성,RP,우투,8,신규,C,2019,34,42,0,42,1,2,0,2,5,0,42,20,39,10,1,6,15,2,35,6,4.29,4.61,0,42,,0.16,0.16,23000,35세 이상,,,,,5,144,144,501,73,69,32,17,68,5,1284.1,572,1285,199,19,103,483,92,991,68,4.01,4.17,785.1,499,21.67,6.01,27.68,370100,
2021,NC,김진성,RP,우투,8,신규,C,2020,35,48,0,48,3,0,0,1,6,0,47.1,14,41,8,2,4,10,0,56,2,2.66,2.7,0,47.1,,1.38,1.38,16000,35세 이상,,,,,1,144,144,592,83,55,31,19,88,3,1296.2,660,1292,199,15,153,547,79,1049,65,4.58,4.86,754,542.2,21.71,7.36,29.07,438600,
2022,NC,김진성,RP,우투,8,신규,C,2021,36,42,0,42,2,4,1,2,9,4,37.2,30,43,10,0,7,18,1,37,2,7.17,5,0,37.2,,-0.97,-0.97,20000,35세 이상,,,,,7,144,144,552,67,68,33,18,80,9,1256.2,634,1268,231,15,125,592,77,1055,75,4.54,4.34,746.2,510,16.69,4.82,21.51,403800,
2023,LG,김진성,RP,우투,8,신규,C,2022,37,67,0,67,6,3,0,2,12,0,58,20,44,6,1,6,22,1,54,2,3.1,3.76,0,58,,1.49,1.49,10000,35세 이상,,잔류,2,7,3,144,144,604,87,55,43,15,107,5,1288,476,1179,166,34,94,451,59,1031,49,3.33,3.82,731,557,18.28,14.01,32.29,393600,
2024,LG,김진성,RP,우투,,FA 1년차,,2023,38,80,0,80,5,1,4,2,21,2,70.1,17,41,5,1,8,26,0,69,0,2.18,3.9,0,70.1,,2.41,2.41,20000,,,,,,1,144,144,593,86,56,37,15,92,5,1293.1,527,1266,215,17,74,491,76,977,47,3.67,3.98,723.1,570,15.44,10.67,26.11,551100,
2016,두산,노경은,CP,우투,9,신규,A,2015,31,47,0,47,1,4,4,3,0,0,58.1,29,57,12,1,6,37,5,41,8,4.47,5.74,0,58.1,,0.27,0.27,20000,고졸,,,,,1,144,144,479,79,65,30,18,57,6,1286,718,1385,248,22,138,584,77,1064,72,5.02,4.83,767,519,14.82,1.9,16.72,490700,
2017,롯데,노경은,SP,우투,9,신규,A,2016,32,22,20,2,3,12,0,1,0,0,94.2,72,128,25,5,13,48,5,52,10,6.84,6.24,92.1,2.1,1.1,-0.35,0.75,20000,고졸,,,,,8,144,144,523,66,78,27,18,59,9,1266.1,792,1486,276,32,161,585,78,1009,82,5.63,5.22,753,513.1,13.43,5.9,19.33,529100,
2018,롯데,노경은,RP,우투,9,신규,A,2017,33,9,2,7,0,2,0,0,0,0,14.2,19,25,5,0,4,8,1,8,1,11.66,7.99,7,7.2,0.03,-0.6,-0.57,16000,고졸,,,,,3,144,144,479,80,62,39,21,59,10,1287.1,652,1357,245,20,162,477,79,1096,67,4.56,4.84,785.1,502,22.45,8.8,31.25,469300,
2019,롯데,노경은,SP,우투,9,신규,A,2018,34,33,19,14,9,6,0,0,0,0,132.1,60,127,24,3,18,30,4,89,1,4.08,5.06,110.2,21.2,3.54,0.64,4.18,10000,고졸,,미계약,,,7,144,144,542,68,74,29,22,64,9,1283.2,766,1410,295,26,166,548,73,1164,65,5.37,5.03,740.1,543.1,13.75,8.35,22.1,512300,
2020,미계약,노경은,,우투,,FA 1년차,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,미계약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,우리,마일영,SP,좌투,9,신규,A,2009,28,27,20,7,5,8,0,,1,,97.1,75,127,,,17,48,3,51,4,6.93,6.04,,,-0.03,-0.01,-0.04,11000,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,한화,마일영,RP,좌투,9,신규,A,2010,29,47,0,47,1,3,2,,10,,43.2,34,51,,,9,20,1,26,3,7.01,6.05,,,,-0.27,-0.27,11000,고졸,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,한화,마일영,RP,좌투,9,신규,A,2011,30,51,8,43,2,5,0,,8,,69.2,45,75,,,4,49,3,32,6,5.81,5.43,,,0.71,-0.59,0.12,8300,고졸,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,한화,마일영,RP,좌투,9,신규,A,2012,31,55,2,53,2,3,1,0,6,0,61.2,38,86,,,6,18,2,31,9,5.55,4.39,,,0,-0.57,-0.57,10000,고졸,,잔류,3,8,8,133,133,417,53,77,29,,54,,1172.1,594,1148,,,106,488,68,936,82,4.56,3.91,,,10.52,-0.44,10.08,214200,
2014,한화,마일영,RP,좌투,,FA 1년차,,2013,32,13,1,12,0,1,0,0,0,0,12.1,9,17,0,0,1,6,2,6,0,6.57,5.56,1.2,10.2,-0.14,0.07,-0.07,15000,,,,,,9,128,128,410,42,85,22,8,34,11,1129,667,1195,227,32,98,532,95,822,89,5.32,4.61,609.1,519.2,4.24,1.74,5.98,141400,
2013,넥센,마정길,SP,우언,8,신규,A,2012,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,대졸,부상 시즌 아웃,,,,6,133,133,360,61,69,36,,34,,1187.1,505,1131,,,80,535,74,853,62,3.83,4.03,,,13.34,4.43,17.77,72700,
2014,넥센,마정길,CP,우언,8,신규,A,2013,34,29,0,29,4,1,1,1,1,0,33,15,32,5,1,1,18,3,31,0,4.09,3.69,0,33,,0.26,0.26,,대졸,,,,,4,128,128,413,72,54,50,12,70,3,1146.1,525,1160,202,21,75,503,84,860,52,4.12,4.26,680,466.1,13.57,8.96,22.54,99600,
