Name,Year,PA,wRC+
김상수,2016,401,61.6
김상수,2017,154,59.1
김상수,2018,499,64.1
김상수,2019,543,97.6
김상수,2020,471,112.4
김상수,2021,496,67.5
김상수,2022,260,69.9
김상수,2023,512,95.3
김상수,2024,420,91.5
김상수,2025,74,99.9
김상현,2001,20,-26.6
김상현,2002,42,156.8
김상현,2003,209,102.3
김상현,2004,316,84
김상현,2007,434,83.1
김상현,2008,243,92.5
김상현,2009,496,151.8
김상현,2010,330,83.1
김상현,2011,405,100
김상현,2012,126,107.4
김상현,2013,360,74.2
김상현,2014,87,92.5
김상현,2015,539,106.9
김상현,2016,246,61.1
김선빈,2008,322,73.2
김선빈,2009,129,95.8
김선빈,2010,406,98.6
김선빈,2011,412,119
김선빈,2012,532,120.2
김선빈,2013,363,103.4
김선빈,2014,98,54.7
김선빈,2016,27,129
김선빈,2017,529,136
김선빈,2018,492,93.9
김선빈,2019,447,104.5
김선빈,2020,351,121.1
김선빈,2021,564,115
김선빈,2022,587,109.9
김선빈,2023,473,114.9
김선빈,2024,466,117.4
김선빈,2025,84,146.1
김성현,2006,1,649.5
김성현,2008,5,-20
김성현,2011,10,-148
김성현,2012,191,86.4
김성현,2013,181,55.1
김성현,2014,476,92.1
김성현,2015,449,96
김성현,2016,530,97.3
김성현,2017,429,69.8
김성현,2018,462,74.5
김성현,2019,472,62.7
김성현,2020,392,74.1
김성현,2021,274,107.9
